X,Y,Width
158,121,2
151,168,2
188,125,2
149,152,2
201,157,2
147,174,2
158,113,1
189,112,1
194,134,1
151,166,2
199,143,2
205,127,2
176,117,1
140,155,1
149,114,2
155,104,2
194,162,1
159,133,1
180,168,1
208,121,2
198,159,1
165,121,2
203,114,1
171,113,1
196,155,1
172,138,1
187,152,2
158,112,1
197,146,1
190,128,2
146,172,2
187,160,1
174,173,1
204,160,1
185,131,1
172,164,2
175,114,1
187,137,1
193,173,1
185,107,1
182,132,2
149,133,2
158,169,2
146,129,2
156,142,1
153,161,2
197,157,2
152,154,2
146,129,2
159,147,2
198,143,2
203,124,2
188,171,1
163,120,1
202,122,1
179,171,1
150,154,2
158,170,2
184,139,1
197,114,1
176,142,1
162,140,2
194,133,2
153,127,2
156,139,2
204,138,1
153,156,2
177,119,1
190,104,2
164,108,1
143,129,1
183,124,2
205,162,2
162,160,2
172,160,2
193,142,1
176,173,2
172,148,2
178,143,1
141,144,2
155,132,2
144,113,1
175,163,1
200,159,1
169,119,1
201,152,1
148,129,1
189,161,1
182,161,2
138,107,1
158,160,2
155,130,1
144,145,1
197,141,1
191,116,2
202,142,2
202,162,1
139,141,2
186,162,1
188,159,1
164,157,1
193,157,2
155,149,1
149,145,1
187,119,1
203,161,1
185,105,1
191,122,2
140,114,2
167,123,2
187,133,1
201,167,1
142,149,1
139,122,1
197,120,2
175,172,2
156,143,1
155,137,2
173,160,1
196,131,2
163,124,2
185,170,2
179,173,2
151,130,2
176,123,2
158,167,2
199,151,1
143,119,2
142,125,2
179,167,2
190,105,2
166,142,1
175,165,1
160,106,1
200,133,2
134,163,2
187,135,1
201,117,2
186,119,1
154,131,1
150,142,1
170,167,1
146,165,2
155,171,1
138,157,2
155,155,2
203,118,1
164,115,2
148,145,1
197,107,1
162,129,1
135,123,2
148,134,1
143,127,1
168,132,2
135,125,2
192,144,2
173,148,1
198,119,2
189,125,1
130,148,2
184,169,2
173,166,2
189,124,2
144,137,2
165,140,1
199,159,2
135,164,2
183,158,1
149,170,1
133,167,2
186,143,1
141,136,1
136,125,1
151,158,2
182,172,1
163,132,2
194,115,1
166,114,1
193,146,1
189,174,1
158,132,1
192,172,1
151,159,1
137,113,2
163,177,1
157,127,2
164,142,2
143,132,1
188,119,2
195,143,1
155,131,1
177,131,2
133,172,1
190,109,1
155,147,1
162,122,2
168,143,2
170,147,2
173,173,2
194,136,2
166,149,1
174,156,1
145,113,2
136,116,2
142,176,2
141,137,2
155,136,2
138,119,1
157,138,1
155,164,1
130,163,1
160,118,1
157,129,1
167,154,2
149,170,2
144,161,1
191,166,2
130,134,1
127,153,2
132,111,1
155,142,1
195,169,1
146,136,2
130,151,2
195,146,2
128,173,2
158,121,1
128,170,2
182,132,2
182,156,1
179,164,1
187,153,2
190,146,1
145,153,2
182,110,1
142,171,1
130,138,1
139,131,2
166,160,2
156,123,1
187,134,2
144,155,1
140,171,2
147,133,2
164,110,1
128,172,2
181,176,1
164,127,2
135,162,1
159,173,2
160,159,1
188,111,1
187,132,2
148,138,2
130,167,1
161,139,2
152,128,2
181,138,1
161,139,1
156,122,1
185,149,1
136,150,1
159,129,1
158,114,1
132,154,1
153,135,1
131,176,2
152,162,1
138,173,1
188,123,2
164,171,1
155,158,1
141,145,2
156,120,1
190,136,2
158,149,2
160,156,1
140,150,1
165,169,1
137,175,2
122,127,1
177,158,2
138,173,2
126,111,1
186,166,1
166,115,1
155,180,1
162,170,1
171,130,2
142,154,2
182,133,2
144,166,1
170,115,1
132,120,2
144,171,2
173,167,1
147,145,1
154,149,1
177,120,2
118,164,1
175,145,2
149,177,1
178,165,1
133,134,2
120,133,2
180,153,1
161,119,1
119,123,2
122,127,1
125,124,1
146,137,2
123,122,1
171,171,2
122,149,2
175,120,1
179,117,2
183,174,1
182,114,1
119,118,2
179,123,1
153,122,2
182,124,1
145,143,2
151,148,2
118,151,2
122,162,2
142,147,1
144,123,1
145,128,1
135,111,1
141,111,2
177,121,1
170,155,1
172,126,1
118,152,1
145,138,2
185,135,1
134,164,1
135,116,1
178,162,1
179,126,2
125,127,2
185,142,2
170,162,2
115,138,1
144,119,2
140,135,1
130,136,1
117,129,2
179,168,2
119,120,2
123,169,1
161,128,1
123,112,1
142,129,2
164,127,1
150,158,1
136,166,1
156,150,2
127,141,2
136,126,2
141,145,2
143,112,1
146,143,1
181,120,2
157,124,2
165,170,2
165,119,1
182,134,1
116,138,2
183,152,2
181,145,1
134,167,1
117,113,1
164,146,1
178,170,1
184,156,1
165,115,2
176,137,1
124,118,2
121,170,2
159,169,2
159,160,1
139,142,1
165,175,2
120,140,2
146,138,2
136,179,1
118,157,2
156,176,2
134,132,2
150,111,2
162,139,2
166,152,1
168,123,1
124,111,1
167,162,2
138,168,2
173,154,1
181,140,1
176,150,1
142,169,1
171,160,2
160,146,1
117,174,1
143,154,1
122,167,2
161,181,1
171,130,1
126,119,1
149,178,2
135,114,2
137,144,2
116,176,1
152,169,1
177,141,2
151,130,1
179,163,2
157,124,1
175,144,1
167,175,2
117,172,1
141,119,1
158,138,2
115,176,2
172,127,2
114,146,1
127,134,2
117,176,2
166,133,2
152,173,2
165,113,2
142,167,2
161,124,1
149,182,1
125,144,1
129,159,1
178,127,1
183,158,2
135,172,1
124,181,2
119,129,1
133,132,1
140,148,1
164,153,1
164,149,2
171,175,2
182,113,2
131,177,2
143,152,1
140,166,2
178,140,1
131,147,2
141,181,2
162,164,1
154,175,1
132,183,1
146,115,2
174,174,2
160,175,1
180,182,1
114,164,2
143,148,2
181,139,1
169,156,1
150,167,2
125,123,2
120,171,2
183,143,2
168,120,2
116,120,1
163,177,1
148,119,2
158,118,2
140,119,2
142,173,1
115,171,1
147,146,2
179,162,1
157,151,2
133,164,2
147,127,2
149,120,2
167,156,1
163,153,2
120,113,1
160,182,2
148,176,2
128,140,1
143,162,1
132,142,1
169,115,2
136,147,2
171,116,1
157,181,2
119,170,1
157,169,1
121,122,2
127,116,2
159,168,2
177,139,2
174,116,1
172,127,1
174,143,2
114,174,2
179,173,1
132,129,2
123,178,2
175,123,2
156,127,2
118,143,1
160,178,1
125,131,2
137,144,2
182,128,2
142,143,2
114,147,2
123,135,1
123,141,1
114,115,1
146,170,1
121,171,2
126,133,2
145,149,1
175,121,1
138,129,2
147,175,1
145,123,2
117,175,1
115,115,1
117,174,2
135,151,1
143,157,1
137,166,1
168,179,1
145,162,2
128,126,1
170,122,2
141,162,1
150,156,1
144,120,1
122,161,2
174,160,2
177,146,1
142,169,2
129,172,2
127,133,1
139,121,1
136,120,2
159,139,2
146,136,1
158,147,1
132,146,2
178,153,1
163,127,1
181,121,2
156,179,2
160,127,1
166,166,2
131,174,2
172,173,2
127,161,1
112,185,1
156,154,2
175,160,2
157,138,2
178,175,2
175,141,1
149,156,2
178,118,2
144,156,1
180,161,1
132,153,2
167,174,2
135,120,1
174,138,1
138,154,1
182,183,2
159,131,2
130,141,1
150,122,1
142,165,1
155,133,1
171,137,2
142,137,1
112,147,2
134,146,1
120,140,2
143,150,2
149,185,1
127,119,1
173,141,1
140,165,1
124,179,2
136,158,1
175,184,1
157,181,2
148,170,1
154,173,1
148,176,2
122,171,1
117,121,1
156,156,2
116,123,1
140,154,2
140,134,2
110,140,2
164,149,1
171,158,1
164,119,1
126,168,2
111,178,1
152,127,1
154,128,2
114,157,2
114,156,1
144,147,1
149,160,2
120,139,1
134,119,2
166,147,1
145,166,2
114,145,1
141,117,1
173,167,1
113,156,2
141,171,2
121,149,2
178,149,2
176,166,2
127,137,1
133,128,1
167,138,1
125,168,1
140,172,2
159,147,2
164,181,2
135,144,1
160,119,2
155,174,2
170,167,1
143,153,1
134,139,1
158,140,2
129,127,1
155,160,1
159,143,2
142,156,2
135,182,2
139,183,1
130,142,1
140,121,1
124,161,1
141,183,1
161,126,1
118,139,2
125,181,2
143,160,2
127,163,2
163,143,1
147,130,1
163,160,1
139,136,2
128,175,2
169,164,2
116,178,1
158,176,2
154,138,2
112,162,2
118,170,2
125,138,2
146,136,2
122,156,1
116,173,2
154,153,2
152,174,2
119,180,2
178,158,1
139,138,2
143,185,1
130,128,2
140,157,1
170,118,1
142,169,2
127,118,2
122,131,2
161,154,2
135,121,2
169,179,2
159,182,1
144,168,2
173,141,2
166,168,2
111,167,1
153,120,1
172,125,1
157,147,1
143,147,1
113,160,2
136,166,2
142,179,1
161,152,1
170,164,2
162,142,2
133,157,2
146,141,2
153,148,2
171,121,2
139,151,2
141,121,2
166,173,2
129,156,1
171,183,2
174,145,2
152,124,1
119,148,2
128,174,1
170,156,1
177,153,2
176,169,2
136,148,1
173,186,2
143,128,1
125,182,1
140,165,2
174,182,2
119,163,1
119,173,1
133,173,2
166,146,2
109,133,2
149,156,2
127,165,2
127,189,2
108,161,2
142,161,1
161,143,1
171,142,1
108,177,2
134,124,1
153,139,1
111,128,1
111,173,1
112,140,1
159,134,1
168,184,1
171,134,1
162,137,2
111,135,2
163,169,2
172,129,2
160,140,1
113,129,2
159,153,1
167,174,1
117,141,1
154,135,2
165,164,2
121,162,2
109,137,2
170,157,2
164,182,2
123,166,1
163,133,1
157,185,2
116,126,2
121,151,1
178,137,2
164,141,1
118,168,2
120,164,2
131,141,2
174,171,2
110,180,2
136,148,1
141,160,2
118,130,2
147,137,2
116,140,1
128,150,1
142,160,2
173,178,2
155,168,1
123,136,2
160,168,2
139,168,1
139,141,2
139,170,1
161,133,1
131,193,2
116,132,1
122,175,2
117,127,2
147,145,1
139,185,1
128,137,2
169,155,2
151,178,1
124,169,1
135,160,1
134,179,2
117,193,2
149,158,2
143,181,2
123,184,1
145,149,2
128,132,2
143,188,2
165,157,2
131,164,2
165,176,1
165,135,2
140,186,2
149,147,2
158,170,2
151,136,1
111,134,1
132,189,2
142,193,2
138,133,2
175,158,2
168,161,2
140,160,1
121,164,2
130,157,1
144,186,2
134,195,1
167,181,1
145,129,1
167,166,1
178,163,2
155,185,2
154,160,2
127,172,2
145,192,1
135,140,1
151,137,2
154,160,1
138,159,1
167,147,2
133,196,2
117,198,1
108,139,1
137,187,2
139,183,2
150,166,2
115,136,1
112,150,2
155,166,2
164,149,1
175,143,1
145,190,2
135,161,2
134,159,2
166,176,1
136,139,2
153,198,2
175,199,1
109,158,2
135,182,2
151,147,2
152,166,1
158,194,2
140,165,1
126,155,2
123,203,1
127,152,1
121,204,2
162,191,2
115,147,2
153,159,2
112,188,2
142,173,1
174,189,1
113,160,1
118,203,1
117,209,2
124,170,1
146,171,1
131,200,1
133,185,1
125,151,2
164,197,1
142,160,1
160,139,2
176,139,2
114,156,1
