X,Y,Width
289,248,1
270,240,2
320,214,1
311,222,2
294,193,2
297,219,1
267,214,2
277,222,1
306,206,2
299,222,2
300,214,1
307,226,2
282,220,1
300,197,2
284,227,2
277,236,1
283,248,1
307,216,1
287,206,1
293,211,2
270,236,2
302,230,2
325,236,2
268,192,2
283,214,2
268,236,2
313,195,2
278,200,1
279,204,2
290,228,1
302,215,2
289,194,2
295,218,2
301,220,1
265,214,1
266,237,2
276,248,1
322,238,1
318,200,2
279,211,1
310,214,2
319,229,2
316,192,2
266,197,2
288,206,2
306,229,1
290,234,2
288,246,1
323,226,2
278,228,1
272,238,1
322,225,2
324,241,1
299,200,2
306,205,2
321,224,2
299,193,2
313,213,2
290,246,2
305,227,1
323,224,2
308,234,1
299,201,2
317,210,1
316,241,2
281,194,2
273,210,2
298,218,1
301,206,2
316,231,1
318,208,1
315,195,1
312,226,2
294,225,2
307,249,2
293,192,2
318,194,1
310,243,1
282,232,2
315,236,2
295,216,2
289,193,1
288,239,2
296,212,2
281,199,2
312,192,1
300,206,2
274,228,1
302,192,1
294,197,2
265,240,1
310,215,1
282,223,1
309,218,2
317,245,1
288,211,1
279,222,2
301,227,1
281,233,1
322,237,1
278,200,1
276,199,2
310,199,1
287,205,1
306,226,2
272,193,1
300,226,2
306,250,1
285,226,1
268,229,1
321,249,1
302,201,2
309,209,1
282,215,2
319,230,2
309,218,1
301,239,2
315,230,1
307,238,2
298,191,1
282,196,1
265,192,2
304,197,1
287,222,2
312,243,2
321,221,2
313,250,2
277,246,2
271,221,2
292,219,2
277,205,1
311,192,2
273,196,1
262,222,1
270,219,2
318,211,1
273,232,1
280,235,2
310,226,1
287,235,1
268,221,2
321,201,2
287,248,1
304,199,2
314,232,1
310,212,2
262,222,1
282,217,2
285,242,1
280,250,1
280,226,1
317,209,1
280,234,1
279,212,1
274,227,1
294,208,1
275,245,2
273,249,1
297,237,1
298,243,2
292,212,2
316,214,1
282,215,1
316,223,2
282,210,1
266,235,2
270,216,1
308,207,1
275,233,2
279,202,1
290,214,2
309,238,1
280,242,1
278,224,2
289,194,2
275,217,1
264,237,1
315,244,1
266,248,1
266,235,2
320,215,1
277,202,2
288,226,1
307,217,1
321,215,1
290,222,2
308,224,2
286,226,2
308,191,2
279,227,2
309,247,2
287,245,1
297,240,2
313,224,2
291,247,2
272,201,1
279,250,1
271,237,1
304,209,1
282,199,1
279,190,2
275,246,2
277,244,1
313,209,2
297,218,1
273,220,1
292,193,1
285,228,1
312,248,2
286,205,2
259,216,2
289,227,1
302,212,1
277,236,1
276,223,1
302,224,1
259,230,2
317,221,2
263,201,2
265,233,2
309,222,2
269,204,2
318,217,2
316,213,1
263,217,1
282,245,1
272,233,2
281,243,1
261,231,1
273,240,2
302,245,1
258,197,2
293,194,2
307,219,2
261,214,1
267,231,1
267,212,1
308,212,1
262,199,1
306,218,1
295,229,2
295,249,1
258,199,2
268,227,2
313,248,2
285,207,2
318,242,2
271,209,1
270,246,1
291,225,1
292,214,1
259,215,2
257,195,1
266,193,1
280,218,2
269,242,2
303,191,1
297,231,1
315,228,1
262,211,1
299,198,2
316,247,2
259,194,2
281,239,1
285,196,1
266,239,1
297,229,1
283,230,2
265,214,1
264,211,2
274,220,2
272,215,2
274,232,1
294,241,2
295,238,2
290,225,2
304,212,2
281,195,1
285,207,2
302,207,2
290,206,1
266,232,1
264,194,2
285,196,1
289,218,2
272,191,1
265,191,2
297,206,2
286,230,2
278,236,2
302,233,2
268,242,1
288,232,1
271,194,2
292,212,2
256,230,2
316,191,1
289,193,1
304,191,2
269,242,2
256,222,1
256,228,2
298,198,2
291,197,2
279,197,1
266,205,2
260,238,2
292,246,1
311,200,1
296,199,2
296,235,2
283,240,1
278,210,2
304,204,1
290,229,2
