X,Y,Width
333.5,137.5,1
342.5,137.5,1
344.5,143.5,2
345.5,147.5,2
344.5,133.5,2
337.5,145.5,1
345.5,136.5,1
337.5,145.5,1
334.5,142.5,2
342.5,133.5,1
347.5,136.5,1
332.5,142.5,2
338.5,133.5,2
340.5,146.5,1
342.5,141.5,2
337.5,134.5,2
337.5,146.5,2
342.5,136.5,2
341.5,147.5,1
344.5,140.5,2
338.5,147.5,1
338.5,144.5,1
339.5,146.5,2
346.5,142.5,1
334.5,139.5,1
340.5,134.5,2
337.5,148.5,2
331.5,133.5,2
336.5,146.5,2
338.5,148.5,1
335.5,145.5,1
342.5,140.5,2
337.5,144.5,1
333.5,146.5,2
340.5,137.5,2
343.5,138.5,2
331.5,135.5,2
333.5,135.5,1
329.5,143.5,2
335.5,140.5,2
340.5,135.5,2
335.5,146.5,2
329.5,144.5,2
339.5,143.5,2
340.5,144.5,2
333.5,134.5,2
334.5,140.5,1
335.5,138.5,2
322.5,137.5,2
322.5,135.5,1
323.5,145.5,1
333.5,145.5,1
333.5,146.5,1
335.5,137.5,1
326.5,137.5,2
322.5,140.5,2
335.5,138.5,1
329.5,144.5,1
335.5,137.5,1
322.5,139.5,1
320.5,147.5,1
335.5,132.5,2
321.5,139.5,1
321.5,146.5,2
323.5,143.5,2
331.5,139.5,1
329.5,143.5,2
322.5,137.5,2
323.5,140.5,1
320.5,135.5,1
329.5,140.5,1
328.5,144.5,2
321.5,138.5,1
322.5,144.5,1
329.5,141.5,1
317.5,138.5,1
318.5,136.5,2
325.5,133.5,2
332.5,131.5,2
325.5,136.5,2
328.5,142.5,1
331.5,140.5,2
332.5,134.5,2
331.5,138.5,2
326.5,139.5,2
328.5,134.5,1
321.5,134.5,1
323.5,131.5,1
323.5,146.5,2
325.5,133.5,1
314.5,139.5,2
317.5,146.5,1
318.5,134.5,2
318.5,135.5,2
317.5,138.5,1
323.5,137.5,1
314.5,133.5,2
316.5,134.5,2
314.5,138.5,2
323.5,132.5,2
314.5,132.5,1
324.5,144.5,1
318.5,139.5,1
317.5,144.5,2
318.5,145.5,2
327.5,139.5,2
327.5,137.5,1
322.5,139.5,1
310.5,135.5,2
312.5,129.5,2
312.5,133.5,2
323.5,131.5,1
311.5,140.5,2
309.5,129.5,2
313.5,144.5,2
314.5,131.5,1
322.5,139.5,2
323.5,139.5,1
314.5,131.5,1
324.5,144.5,1
319.5,143.5,2
311.5,143.5,1
319.5,133.5,2
320.5,144.5,2
308.5,135.5,2
314.5,137.5,2
321.5,139.5,1
311.5,133.5,2
322.5,134.5,1
318.5,138.5,2
312.5,140.5,1
310.5,133.5,1
309.5,138.5,1
316.5,141.5,2
310.5,132.5,1
321.5,141.5,1
309.5,136.5,1
307.5,130.5,1
313.5,143.5,1
312.5,133.5,2
317.5,136.5,2
309.5,141.5,1
321.5,138.5,2
310.5,130.5,1
306.5,129.5,1
