X,Y,Width
311,274,2
290,266,2
320,245,1
297,252,1
297,274,2
306,275,2
309,252,2
296,275,2
314,280,2
337,230,1
333,244,2
281,256,1
341,258,2
336,242,2
332,258,1
292,257,1
299,244,2
301,282,1
291,236,2
288,262,2
300,287,1
281,232,2
290,263,1
310,284,2
330,275,1
328,271,2
318,235,2
339,253,1
329,244,1
332,265,1
292,248,1
327,255,1
334,271,2
326,253,2
331,256,2
301,266,2
326,240,2
307,282,2
306,285,1
304,284,1
304,261,2
318,269,2
325,262,2
307,274,2
330,281,1
336,232,2
298,234,2
336,233,1
321,262,2
325,254,2
291,283,2
336,261,2
295,258,1
327,226,2
302,249,2
300,256,2
286,234,2
320,246,1
339,256,2
292,286,2
289,244,2
330,274,1
303,246,2
321,272,2
334,232,1
291,272,2
298,271,1
284,278,2
340,247,1
286,261,1
286,240,1
281,278,2
333,261,1
308,263,1
337,280,1
285,269,1
313,244,1
284,227,2
302,242,1
307,278,1
332,240,1
330,230,2
309,262,2
336,283,1
307,269,1
292,275,1
337,284,1
290,231,2
284,269,2
316,280,2
289,267,2
302,269,1
291,280,1
320,258,2
338,251,1
297,261,1
329,270,2
336,234,1
297,251,2
326,270,2
291,278,2
326,242,1
316,252,1
311,248,2
330,261,2
334,232,1
290,234,2
326,255,2
311,240,1
305,276,1
334,251,2
320,258,1
315,268,1
300,254,1
332,267,1
300,230,1
309,236,1
299,234,1
310,245,2
295,234,1
317,229,1
314,229,2
327,269,2
287,237,2
315,232,2
307,282,1
335,236,1
317,270,1
329,274,2
341,257,1
338,229,2
332,232,2
319,261,2
328,252,1
315,284,2
283,230,2
332,265,1
329,261,2
305,225,1
341,228,1
335,241,2
292,261,1
312,272,1
338,260,2
340,248,2
334,283,1
335,278,1
323,276,2
312,253,1
329,284,2
326,234,1
300,275,1
297,280,2
291,252,1
304,237,2
309,257,1
341,277,2
305,225,1
302,284,2
327,255,1
337,236,1
296,257,2
295,271,2
304,261,2
334,270,2
311,240,2
291,235,2
333,253,1
314,262,1
303,262,2
284,264,2
314,239,1
339,264,2
336,224,2
307,230,2
296,241,1
310,276,2
317,258,2
295,260,2
311,282,1
310,223,1
287,244,1
287,264,1
322,250,2
308,270,2
326,248,2
291,261,1
319,225,2
286,255,2
298,222,1
311,272,1
306,257,2
294,270,2
301,264,1
284,269,2
297,257,1
338,253,2
313,260,2
317,258,1
315,248,1
308,224,2
308,253,1
338,272,2
326,253,1
333,234,2
291,281,2
291,231,2
333,270,1
281,229,2
313,245,2
301,250,2
322,259,1
328,266,1
318,267,1
333,246,2
283,260,2
299,266,2
312,260,1
280,263,1
305,264,2
320,270,1
282,226,2
308,265,1
331,272,1
292,229,2
335,256,1
322,260,2
339,275,2
337,239,2
318,280,2
331,226,1
284,256,1
298,278,2
288,224,2
296,258,2
307,256,1
297,228,1
304,276,2
300,237,2
304,233,1
300,274,1
304,274,2
317,257,1
323,238,1
308,253,2
324,225,1
335,229,2
331,246,1
319,228,1
300,274,2
319,276,2
331,275,2
298,222,1
298,244,2
330,224,2
297,234,2
296,222,1
335,252,1
287,269,2
282,263,2
291,238,2
306,245,2
301,222,2
296,268,2
299,239,1
316,272,2
288,238,1
297,279,1
298,264,2
322,233,1
330,266,2
286,253,2
323,258,2
301,241,2
277,269,2
289,243,2
277,228,1
327,226,2
335,261,1
319,231,2
324,261,1
313,253,1
308,235,1
327,230,1
275,277,1
304,275,2
333,272,2
330,222,1
292,258,2
284,266,2
324,272,2
315,232,2
293,228,2
294,247,1
333,266,2
299,227,2
307,219,1
290,227,1
287,270,1
276,217,2
320,254,1
328,220,1
287,246,1
326,243,2
303,269,1
306,255,2
323,241,1
281,249,2
293,249,1
292,222,2
308,258,2
314,272,1
300,218,1
303,272,1
