X,Y,Width
293.5,55.5,1
282.5,58.5,1
289.5,61.5,1
294.5,64.5,1
292.5,58.5,1
292.5,68.5,2
285.5,61.5,1
288.5,61.5,1
287.5,62.5,1
278.5,58.5,2
283.5,59.5,2
286.5,65.5,2
285.5,58.5,2
279.5,63.5,1
285.5,60.5,2
283.5,69.5,2
292.5,66.5,2
279.5,57.5,2
280.5,63.5,1
285.5,67.5,1
285.5,65.5,1
282.5,61.5,1
290.5,68.5,1
280.5,63.5,2
286.5,68.5,1
280.5,69.5,2
284.5,55.5,2
279.5,61.5,2
281.5,66.5,2
286.5,65.5,1
281.5,63.5,1
280.5,68.5,2
289.5,59.5,1
282.5,61.5,2
290.5,66.5,1
275.5,68.5,1
285.5,57.5,1
276.5,66.5,2
280.5,62.5,2
280.5,58.5,1
280.5,61.5,1
274.5,69.5,1
275.5,63.5,1
275.5,66.5,2
277.5,59.5,1
283.5,59.5,1
275.5,55.5,2
273.5,65.5,1
281.5,56.5,1
279.5,64.5,2
275.5,59.5,2
279.5,56.5,2
271.5,67.5,2
273.5,54.5,1
284.5,63.5,1
284.5,64.5,2
278.5,66.5,2
268.5,59.5,2
275.5,58.5,2
277.5,57.5,2
277.5,54.5,2
278.5,67.5,2
275.5,67.5,1
275.5,69.5,2
274.5,62.5,2
262.5,55.5,1
263.5,61.5,1
269.5,68.5,1
268.5,60.5,1
275.5,55.5,1
273.5,54.5,2
265.5,68.5,2
272.5,65.5,1
264.5,59.5,2
268.5,65.5,1
269.5,66.5,2
265.5,64.5,1
261.5,64.5,1
274.5,54.5,2
262.5,65.5,1
262.5,59.5,1
263.5,69.5,1
274.5,57.5,1
268.5,59.5,1
271.5,57.5,1
262.5,54.5,2
272.5,63.5,1
269.5,58.5,1
256.5,54.5,2
257.5,54.5,2
268.5,61.5,2
256.5,66.5,1
264.5,62.5,1
271.5,67.5,1
268.5,69.5,2
263.5,69.5,2
260.5,62.5,1
270.5,66.5,2
263.5,67.5,1
260.5,63.5,1
257.5,68.5,1
258.5,56.5,2
262.5,62.5,1
255.5,62.5,2
259.5,59.5,1
257.5,68.5,2
262.5,62.5,2
265.5,68.5,1
256.5,63.5,1
262.5,63.5,2
260.5,68.5,1
261.5,64.5,1
259.5,59.5,1
253.5,71.5,1
258.5,64.5,2
260.5,67.5,2
257.5,65.5,2
253.5,63.5,2
262.5,62.5,2
249.5,70.5,1
252.5,66.5,1
254.5,67.5,1
247.5,61.5,1
250.5,71.5,1
259.5,64.5,1
257.5,64.5,1
255.5,65.5,2
260.5,68.5,2
246.5,61.5,2
253.5,66.5,1
241.5,68.5,1
242.5,58.5,2
245.5,66.5,1
245.5,64.5,2
255.5,70.5,1
252.5,57.5,1
241.5,69.5,1
250.5,59.5,2
251.5,67.5,2
238.5,69.5,1
250.5,67.5,2
253.5,68.5,2
253.5,58.5,2
249.5,66.5,1
243.5,61.5,2
251.5,67.5,1
248.5,60.5,2
251.5,63.5,2
240.5,64.5,2
241.5,71.5,1
251.5,59.5,1
245.5,70.5,1
233.5,63.5,1
233.5,67.5,1
244.5,58.5,2
238.5,66.5,2
236.5,66.5,2
241.5,64.5,1
243.5,70.5,2
232.5,67.5,2
237.5,67.5,2
230.5,71.5,2
229.5,58.5,2
229.5,69.5,1
232.5,67.5,2
229.5,67.5,2
239.5,65.5,2
242.5,61.5,1
232.5,69.5,1
225.5,60.5,1
227.5,70.5,2
228.5,57.5,2
226.5,62.5,2
230.5,64.5,2
228.5,59.5,2
229.5,59.5,1
225.5,68.5,1
231.5,62.5,2
225.5,63.5,2
227.5,65.5,1
223.5,62.5,1
225.5,63.5,1
224.5,59.5,2
229.5,60.5,1
232.5,70.5,2
227.5,59.5,1
233.5,73.5,2
236.5,62.5,1
225.5,68.5,2
224.5,63.5,1
229.5,64.5,1
224.5,58.5,2
220.5,71.5,1
219.5,70.5,2
230.5,59.5,1
221.5,74.5,2
218.5,69.5,1
226.5,62.5,1
217.5,60.5,1
223.5,63.5,2
229.5,61.5,1
225.5,73.5,2
227.5,71.5,2
223.5,60.5,2
224.5,74.5,1
226.5,66.5,2
225.5,66.5,1
223.5,59.5,1
222.5,63.5,2
227.5,60.5,2
225.5,75.5,1
225.5,75.5,2
217.5,75.5,2
223.5,75.5,2
225.5,67.5,2
227.5,71.5,1
219.5,75.5,1
221.5,62.5,1
224.5,76.5,1
224.5,70.5,1
210.5,62.5,2
212.5,72.5,2
220.5,69.5,2
215.5,65.5,1
211.5,65.5,1
220.5,74.5,1
218.5,75.5,1
221.5,76.5,2
212.5,69.5,2
217.5,72.5,1
211.5,67.5,1
213.5,67.5,1
216.5,78.5,1
220.5,78.5,1
214.5,76.5,1
214.5,63.5,1
215.5,65.5,1
208.5,74.5,2
206.5,63.5,2
212.5,66.5,1
217.5,70.5,1
213.5,77.5,1
205.5,67.5,2
206.5,73.5,1
207.5,63.5,1
213.5,73.5,2
216.5,77.5,1
210.5,72.5,2
212.5,69.5,2
216.5,72.5,1
203.5,67.5,1
202.5,74.5,2
202.5,73.5,1
217.5,74.5,1
216.5,80.5,1
206.5,71.5,1
200.5,76.5,2
206.5,77.5,1
212.5,71.5,1
211.5,71.5,2
203.5,79.5,1
201.5,81.5,2
204.5,76.5,1
206.5,69.5,2
197.5,75.5,1
204.5,77.5,2
205.5,83.5,1
201.5,72.5,2
203.5,81.5,1
205.5,75.5,2
211.5,73.5,1
200.5,69.5,2
206.5,70.5,1
197.5,83.5,1
206.5,78.5,1
208.5,74.5,1
209.5,71.5,1
205.5,80.5,1
209.5,85.5,2
210.5,74.5,2
207.5,88.5,2
195.5,73.5,2
204.5,74.5,2
197.5,75.5,2
202.5,74.5,2
197.5,73.5,2
205.5,80.5,1
201.5,84.5,2
194.5,89.5,1
196.5,85.5,2
189.5,85.5,2
198.5,87.5,1
202.5,81.5,2
199.5,84.5,2
199.5,79.5,2
200.5,83.5,1
189.5,85.5,2
200.5,84.5,1
194.5,78.5,2
195.5,80.5,2
191.5,81.5,1
194.5,78.5,1
186.5,88.5,2
193.5,90.5,2
192.5,91.5,1
194.5,95.5,1
188.5,82.5,1
180.5,93.5,1
191.5,83.5,2
188.5,85.5,2
192.5,90.5,2
193.5,97.5,1
184.5,98.5,2
179.5,86.5,2
186.5,89.5,1
185.5,93.5,2
183.5,89.5,1
185.5,84.5,2
184.5,86.5,2
190.5,94.5,2
183.5,99.5,2
183.5,97.5,2
180.5,98.5,2
176.5,91.5,2
182.5,93.5,1
171.5,102.5,1
183.5,98.5,2
184.5,91.5,2
177.5,106.5,1
169.5,102.5,1
166.5,107.5,1
167.5,97.5,2
171.5,99.5,1
167.5,100.5,2
169.5,104.5,2
170.5,97.5,1
166.5,99.5,2
160.5,111.5,2
175.5,103.5,1
172.5,112.5,2
169.5,99.5,2
169.5,101.5,2
167.5,112.5,1
164.5,105.5,2
155.5,120.5,1
158.5,113.5,2
164.5,105.5,1
154.5,110.5,1
157.5,119.5,2
155.5,111.5,1
163.5,113.5,1
162.5,115.5,1
153.5,111.5,1
149.5,122.5,2
152.5,118.5,2
150.5,109.5,2
163.5,110.5,2
152.5,108.5,1
153.5,108.5,2
159.5,118.5,1
152.5,123.5,2
158.5,123.5,2
153.5,120.5,2
147.5,114.5,2
148.5,114.5,2
158.5,116.5,2
152.5,126.5,2
159.5,123.5,2
150.5,137.5,1
145.5,129.5,1
141.5,123.5,2
139.5,131.5,1
139.5,135.5,1
144.5,136.5,1
148.5,135.5,1
143.5,134.5,1
137.5,133.5,1
134.5,140.5,1
133.5,125.5,1
135.5,134.5,1
145.5,136.5,2
146.5,136.5,1
134.5,127.5,1
135.5,132.5,2
126.5,143.5,2
127.5,142.5,1
136.5,136.5,2
125.5,142.5,1
132.5,146.5,2
135.5,138.5,2
127.5,148.5,2
130.5,135.5,2
121.5,144.5,1
125.5,149.5,2
124.5,142.5,2
129.5,144.5,2
125.5,151.5,2
118.5,138.5,2
130.5,138.5,2
123.5,139.5,1
124.5,146.5,1
123.5,151.5,2
124.5,145.5,2
113.5,140.5,2
127.5,142.5,2
126.5,145.5,1
118.5,145.5,1
116.5,138.5,2
106.5,157.5,2
119.5,158.5,2
115.5,154.5,2
113.5,157.5,2
121.5,160.5,1
114.5,152.5,2
112.5,155.5,1
107.5,158.5,2
105.5,157.5,2
111.5,154.5,2
112.5,164.5,1
112.5,163.5,2
113.5,157.5,1
115.5,160.5,2
107.5,154.5,2
115.5,159.5,1
109.5,168.5,2
110.5,164.5,1
105.5,155.5,2
100.5,169.5,1
112.5,161.5,2
99.5,162.5,1
110.5,167.5,2
112.5,158.5,1
107.5,172.5,1
100.5,166.5,2
99.5,160.5,2
112.5,161.5,2
108.5,159.5,2
108.5,167.5,2
105.5,159.5,2
108.5,164.5,2
107.5,160.5,1
108.5,165.5,1
102.5,168.5,1
98.5,159.5,2
98.5,168.5,1
97.5,172.5,1
110.5,159.5,1
105.5,172.5,2
98.5,172.5,1
95.5,179.5,2
108.5,177.5,1
103.5,167.5,1
105.5,172.5,1
94.5,167.5,2
108.5,176.5,1
98.5,169.5,2
102.5,186.5,2
90.5,183.5,2
91.5,183.5,1
95.5,174.5,1
105.5,187.5,2
99.5,172.5,2
94.5,181.5,2
97.5,174.5,1
102.5,186.5,2
101.5,182.5,2
91.5,181.5,1
93.5,177.5,2
97.5,190.5,2
99.5,188.5,2
93.5,190.5,1
102.5,181.5,2
86.5,186.5,2
85.5,197.5,1
85.5,199.5,1
98.5,199.5,1
92.5,192.5,2
92.5,197.5,1
93.5,196.5,1
96.5,195.5,1
88.5,206.5,1
97.5,205.5,1
98.5,203.5,1
93.5,196.5,2
85.5,196.5,2
99.5,197.5,2
95.5,203.5,2
86.5,204.5,1
97.5,202.5,1
85.5,208.5,2
92.5,204.5,2
94.5,210.5,1
93.5,209.5,1
90.5,211.5,1
92.5,202.5,2
98.5,205.5,1
96.5,221.5,1
91.5,219.5,1
88.5,215.5,2
98.5,215.5,1
89.5,220.5,1
85.5,229.5,2
97.5,224.5,2
92.5,214.5,1
83.5,222.5,2
85.5,231.5,2
90.5,228.5,1
92.5,231.5,2
93.5,234.5,1
91.5,233.5,2
96.5,225.5,2
88.5,232.5,2
95.5,239.5,1
95.5,232.5,2
90.5,235.5,2
94.5,236.5,2
92.5,234.5,2
84.5,245.5,2
87.5,230.5,2
92.5,241.5,1
96.5,241.5,2
93.5,239.5,1
83.5,248.5,1
96.5,240.5,2
91.5,236.5,1
88.5,237.5,2
90.5,249.5,1
94.5,244.5,1
89.5,255.5,2
92.5,252.5,1
96.5,254.5,1
82.5,243.5,2
84.5,249.5,2
91.5,250.5,1
97.5,243.5,1
94.5,251.5,1
91.5,259.5,2
90.5,260.5,2
91.5,268.5,1
94.5,257.5,1
85.5,265.5,2
88.5,265.5,2
82.5,256.5,2
82.5,253.5,2
99.5,273.5,2
88.5,266.5,1
84.5,261.5,2
90.5,264.5,2
94.5,274.5,1
84.5,264.5,1
87.5,262.5,1
99.5,268.5,2
90.5,281.5,2
85.5,283.5,2
95.5,275.5,1
88.5,271.5,2
100.5,274.5,1
99.5,286.5,2
88.5,277.5,2
88.5,285.5,2
93.5,291.5,1
93.5,291.5,1
85.5,277.5,1
96.5,278.5,2
99.5,281.5,1
85.5,281.5,1
85.5,280.5,2
98.5,287.5,1
92.5,279.5,2
98.5,287.5,2
89.5,285.5,1
87.5,288.5,2
92.5,287.5,1
99.5,291.5,1
101.5,288.5,1
87.5,280.5,2
94.5,293.5,2
94.5,296.5,2
92.5,291.5,2
89.5,299.5,1
99.5,289.5,1
102.5,296.5,1
103.5,289.5,1
102.5,298.5,2
104.5,304.5,2
90.5,296.5,2
98.5,301.5,1
103.5,295.5,2
90.5,299.5,2
103.5,296.5,1
91.5,304.5,2
105.5,293.5,2
101.5,300.5,1
106.5,310.5,2
96.5,302.5,2
105.5,302.5,2
101.5,303.5,2
106.5,304.5,1
104.5,299.5,2
100.5,310.5,1
93.5,308.5,2
97.5,317.5,1
107.5,310.5,2
100.5,305.5,1
103.5,309.5,1
106.5,308.5,2
94.5,316.5,1
106.5,318.5,2
109.5,322.5,1
97.5,313.5,2
104.5,318.5,2
109.5,309.5,2
108.5,313.5,1
105.5,321.5,1
95.5,319.5,2
97.5,319.5,2
108.5,327.5,1
103.5,326.5,1
106.5,328.5,1
103.5,324.5,1
101.5,321.5,1
100.5,320.5,2
107.5,330.5,1
106.5,317.5,2
111.5,325.5,2
102.5,325.5,1
102.5,319.5,1
112.5,319.5,2
102.5,334.5,1
110.5,321.5,1
105.5,324.5,1
99.5,332.5,2
113.5,329.5,2
104.5,329.5,2
108.5,332.5,2
110.5,328.5,1
101.5,333.5,1
101.5,328.5,2
107.5,327.5,2
109.5,328.5,2
115.5,345.5,1
105.5,340.5,2
117.5,332.5,1
108.5,335.5,1
106.5,334.5,1
118.5,332.5,2
115.5,343.5,2
118.5,333.5,2
121.5,347.5,2
113.5,340.5,1
121.5,350.5,2
107.5,353.5,1
114.5,341.5,1
121.5,343.5,1
113.5,347.5,1
120.5,343.5,2
122.5,353.5,1
110.5,365.5,1
120.5,353.5,2
116.5,363.5,2
111.5,364.5,2
115.5,362.5,1
110.5,358.5,1
124.5,367.5,2
115.5,359.5,2
128.5,365.5,1
119.5,361.5,1
115.5,374.5,1
128.5,369.5,1
113.5,363.5,1
124.5,364.5,2
122.5,374.5,2
117.5,373.5,1
120.5,377.5,1
118.5,376.5,2
122.5,367.5,2
117.5,380.5,2
128.5,376.5,2
120.5,366.5,2
120.5,368.5,1
117.5,379.5,2
122.5,377.5,1
122.5,376.5,1
130.5,385.5,1
131.5,372.5,1
116.5,379.5,2
126.5,387.5,2
126.5,383.5,1
123.5,395.5,2
121.5,386.5,2
127.5,399.5,2
134.5,400.5,2
123.5,397.5,2
