X,Y,Width
296,23,1
293,41,2
276,31,1
303,36,1
269,43,1
275,64,2
316,57,1
300,35,2
292,47,2
307,30,1
274,44,2
314,42,2
315,58,1
294,56,1
305,24,2
281,23,2
302,29,1
312,24,1
316,48,2
270,62,2
298,63,1
288,50,2
274,56,1
268,34,2
303,34,1
291,38,2
308,19,2
284,63,2
295,52,2
301,34,2
286,62,1
284,46,2
297,25,1
316,48,1
279,33,1
309,30,1
277,46,1
281,65,2
307,21,2
297,44,1
291,55,2
300,22,1
307,37,1
291,24,1
285,19,1
301,38,1
273,30,2
284,21,1
291,40,2
273,29,1
313,62,1
308,57,2
272,39,1
278,37,1
293,66,2
278,55,2
283,27,1
309,59,1
300,56,2
303,67,2
281,22,1
309,55,1
293,20,2
300,21,1
317,59,2
292,23,2
279,21,1
286,23,2
312,35,1
280,21,2
307,29,2
314,48,2
275,28,2
310,55,2
269,44,1
284,55,1
302,26,1
300,68,1
271,54,2
269,39,2
286,26,2
307,55,1
312,32,1
306,21,2
295,38,2
312,58,2
305,48,2
295,34,1
291,64,2
294,52,1
280,60,2
286,62,1
299,38,2
310,46,1
272,28,1
309,32,2
313,41,1
278,39,1
313,66,1
312,34,2
299,56,2
277,55,1
297,65,2
303,68,1
299,25,2
296,35,2
290,53,2
264,53,2
287,37,1
295,45,1
295,56,1
294,20,1
304,46,2
287,56,1
286,49,1
286,51,2
311,30,1
288,41,1
278,52,2
299,62,1
264,68,2
311,44,1
265,64,2
263,19,2
261,41,1
268,54,1
261,29,2
267,44,2
270,56,1
279,21,1
297,27,2
309,36,2
280,69,2
288,28,1
270,33,1
274,39,2
279,42,1
261,32,1
293,61,2
284,51,1
291,29,1
281,57,1
303,23,2
285,34,1
301,64,2
311,59,2
310,41,1
295,34,2
279,62,1
266,57,2
281,46,2
288,34,1
262,66,1
262,32,2
300,51,1
300,28,1
267,51,1
278,42,2
282,45,2
273,39,1
249,23,1
249,67,2
279,24,2
259,45,2
295,45,1
259,53,1
275,22,1
279,65,1
259,58,1
275,22,2
251,39,2
288,60,1
276,35,2
260,46,1
279,53,2
273,58,1
298,28,2
279,52,1
272,60,1
276,36,2
268,45,1
262,26,2
272,65,1
251,64,1
253,58,1
256,32,2
298,24,1
255,24,2
271,34,1
278,66,1
281,50,1
273,52,2
260,33,1
292,21,1
292,27,2
255,38,1
286,51,1
274,37,2
262,35,2
271,58,1
252,33,1
255,64,2
287,35,2
249,37,1
295,47,2
246,64,2
257,55,1
273,49,1
256,57,1
280,51,2
283,42,2
281,28,2
283,59,2
285,64,1
281,53,1
282,35,1
256,31,2
289,52,2
293,15,1
277,46,2
277,56,1
295,32,2
280,29,2
247,31,2
258,17,2
245,18,2
292,50,2
276,51,2
246,59,2
277,22,1
294,61,1
263,17,2
259,16,2
263,18,2
251,19,2
273,15,2
264,25,1
