X,Y,Width
91,108,1
91,102,2
117,127,1
88,105,1
133,101,1
98,104,1
120,118,1
104,117,2
93,120,2
103,109,2
126,94,1
123,116,2
128,92,2
132,85,2
117,94,1
115,98,2
109,106,1
133,126,2
126,87,2
111,124,1
136,87,2
113,105,2
119,108,1
116,92,1
129,109,2
95,102,1
105,88,2
110,119,1
105,105,2
129,79,2
88,82,2
120,106,2
101,91,2
94,126,2
94,85,1
102,106,2
92,104,2
121,108,2
105,102,1
122,107,1
110,91,1
103,114,2
133,118,2
111,103,1
113,127,2
133,105,1
131,129,2
101,93,1
131,126,2
102,104,2
103,83,1
99,98,1
136,100,1
112,82,1
119,128,1
107,122,1
122,105,1
95,103,1
117,88,1
92,113,2
121,128,2
122,123,2
116,84,1
118,89,1
96,128,2
89,104,2
118,81,1
109,93,2
116,97,2
129,111,1
109,95,2
119,114,1
95,102,2
132,111,1
128,124,1
115,107,1
113,89,2
88,83,1
101,83,2
130,123,1
90,101,2
94,84,1
107,81,2
112,101,1
124,104,1
128,102,1
126,118,1
106,130,1
118,118,2
105,120,1
100,108,2
131,105,2
117,99,1
111,92,1
109,97,1
98,127,2
96,110,2
99,115,1
98,127,2
96,105,2
136,95,2
90,85,1
106,81,1
138,103,2
91,123,1
100,92,1
106,112,1
114,93,2
130,116,1
129,125,1
132,127,2
116,114,1
139,127,1
110,89,2
113,95,1
136,123,1
89,129,1
93,130,2
123,88,1
95,123,2
112,91,1
105,89,2
130,105,1
97,85,2
112,119,1
92,114,2
116,115,1
127,98,2
94,92,1
140,92,2
118,87,1
140,102,2
136,133,1
105,118,2
129,125,2
130,129,1
134,122,1
92,130,2
106,115,1
100,120,1
96,89,2
107,92,1
138,123,2
104,115,2
105,116,2
106,113,1
107,110,2
101,88,1
102,91,1
125,109,2
135,121,2
121,109,1
127,109,1
132,91,1
134,121,2
144,112,2
111,99,1
122,113,1
105,126,1
103,116,2
127,135,1
135,94,1
137,117,2
147,86,2
142,111,1
123,100,2
129,130,2
114,133,2
124,91,2
113,91,1
101,105,1
121,108,2
138,111,1
106,94,2
134,102,2
133,102,1
128,120,2
133,87,1
118,95,1
127,135,2
149,139,1
106,132,1
113,117,1
125,131,1
153,133,1
114,137,2
145,107,2
107,94,2
139,125,1
103,136,1
103,103,2
112,136,1
139,100,1
129,106,2
139,122,1
144,135,1
135,127,1
136,117,2
112,90,2
146,124,1
119,112,2
116,113,2
108,130,1
134,138,2
146,89,1
104,138,2
122,109,2
134,133,1
148,120,1
137,118,1
131,128,1
149,137,1
119,95,2
113,120,2
136,130,2
143,125,1
114,132,1
133,129,1
156,106,1
145,135,1
118,101,1
133,113,2
125,98,1
143,121,1
143,134,1
141,136,1
113,97,2
121,123,1
126,98,1
125,131,2
113,126,2
135,137,1
141,118,2
125,131,1
122,114,2
123,118,2
138,107,1
127,104,1
132,100,2
130,94,1
140,120,1
162,146,1
130,123,2
142,110,1
148,112,2
121,145,2
165,142,1
122,125,1
127,132,2
121,104,1
146,124,2
144,138,2
132,129,2
121,128,1
120,125,1
128,112,1
142,112,1
153,143,2
138,123,2
163,122,2
140,136,2
141,121,1
154,102,2
152,100,2
120,112,1
163,136,1
166,125,2
164,131,1
132,121,2
151,138,2
160,108,1
140,111,1
167,101,1
154,143,1
169,109,1
127,147,2
138,123,1
169,106,1
128,109,2
136,107,2
