X,Y,Width
451,69,1
437,78,1
463,102,2
447,62,2
458,97,2
471,66,1
435,78,1
448,105,2
434,105,2
461,92,2
433,104,2
467,55,1
444,88,1
442,88,2
441,92,2
467,87,2
454,97,1
447,103,2
462,57,2
445,96,2
459,101,1
443,65,1
438,59,1
438,77,2
437,93,2
432,60,2
444,60,1
452,74,2
433,104,1
433,95,2
467,106,2
468,63,2
471,64,1
448,82,2
460,77,1
474,82,1
452,62,1
445,57,2
481,83,1
434,84,1
435,92,2
446,94,2
450,73,1
432,102,2
435,70,2
477,103,1
480,86,1
479,77,1
471,88,1
464,100,2
460,59,1
446,66,2
450,65,1
447,105,1
464,89,1
438,101,1
467,67,1
444,80,2
438,84,2
476,89,1
477,63,1
472,104,1
471,104,2
443,68,1
430,62,1
463,60,1
471,78,1
447,95,2
443,85,1
480,69,1
435,89,2
443,66,2
443,90,1
437,67,2
438,100,2
462,107,1
478,68,2
442,82,1
454,63,1
461,102,1
432,81,2
458,108,1
435,107,1
475,83,1
448,72,2
468,91,2
448,92,1
452,95,2
431,94,1
449,71,1
460,111,1
444,84,1
448,75,1
439,108,1
453,69,2
445,100,2
458,103,2
442,91,1
459,78,1
465,70,1
465,115,2
469,75,1
470,104,2
464,79,2
433,104,1
431,86,2
471,77,2
452,106,2
437,115,1
473,86,2
425,74,1
459,94,2
445,115,2
437,84,1
461,94,2
456,92,1
443,88,2
452,106,1
445,96,2
442,111,2
421,78,2
435,80,2
459,109,2
440,78,2
470,89,1
431,90,1
431,79,2
452,113,2
461,85,1
436,121,1
460,88,1
434,101,2
444,91,2
469,120,1
422,79,2
471,80,2
433,80,1
450,118,1
435,122,1
447,120,2
471,120,1
458,82,1
423,117,1
441,116,1
449,120,1
470,118,2
432,118,1
443,100,1
438,79,1
430,82,1
459,90,2
421,100,2
423,119,2
441,89,2
428,106,1
436,103,2
459,85,1
429,97,1
429,101,2
439,115,1
440,98,1
462,117,1
435,106,2
459,92,2
462,96,1
466,101,2
462,81,2
457,98,2
428,84,1
429,115,2
468,129,1
461,104,2
419,81,1
421,83,2
434,109,1
425,116,1
438,81,2
455,110,2
448,109,2
435,123,2
417,103,1
461,134,2
421,115,2
423,125,1
451,123,1
459,123,1
457,127,2
416,94,1
433,132,1
431,140,1
418,116,1
436,126,2
446,136,1
442,105,2
422,124,1
451,129,1
440,99,1
428,132,1
442,123,1
415,129,1
417,118,1
434,124,1
445,122,2
458,135,1
438,128,2
441,109,1
441,106,2
442,136,2
420,105,1
456,114,2
419,129,1
416,118,1
445,117,2
458,119,2
453,99,2
450,146,2
414,100,2
427,145,2
419,115,2
445,128,2
457,133,2
416,148,2
414,122,2
411,136,1
439,142,2
428,129,1
426,129,2
412,142,1
458,102,2
419,116,2
433,112,1
444,129,2
447,129,1
454,103,1
435,112,1
448,110,2
412,122,1
414,140,2
418,131,1
425,108,2
411,153,1
409,152,2
422,148,2
442,108,2
413,149,2
454,121,1
424,149,1
437,145,1
454,105,2
405,149,1
450,135,1
420,104,2
434,128,1
455,128,1
428,123,2
453,108,1
414,112,2
433,107,2
435,149,2
411,138,2
419,142,1
408,124,1
414,150,2
427,149,2
421,149,1
431,121,2
427,118,1
424,142,2
418,127,2
432,133,2
416,132,2
419,118,1
413,158,1
424,114,1
437,129,2
405,162,2
431,121,1
436,145,1
431,113,1
427,143,1
404,131,2
418,138,1
415,156,2
438,114,2
407,157,2
403,124,1
446,141,1
448,134,2
426,132,1
424,148,2
445,126,1
406,117,1
400,143,1
405,134,1
424,135,2
401,128,1
411,133,2
446,137,1
410,160,1
402,132,1
409,135,1
437,127,1
445,127,2
435,122,1
447,165,1
408,157,1
443,169,1
412,130,2
412,121,1
412,144,1
408,165,1
408,158,2
418,146,1
404,140,1
412,150,1
444,136,2
444,140,1
445,151,2
439,162,2
423,121,2
423,131,1
414,137,1
442,132,1
438,147,1
424,125,2
414,145,2
430,121,2
432,136,2
407,134,1
439,162,1
392,138,2
428,163,1
414,181,1
426,140,2
433,176,1
402,169,2
424,140,2
399,138,2
404,173,2
426,164,1
426,134,2
410,149,1
399,133,1
392,174,1
411,164,1
431,178,2
396,138,2
422,171,2
419,166,2
417,162,1
396,139,1
434,171,2
395,150,1
407,163,1
407,161,2
412,154,2
435,140,2
392,145,2
401,136,1
410,139,2
422,180,1
406,174,1
389,144,2
396,184,1
409,186,1
425,160,2
405,182,1
430,154,1
421,177,1
393,154,2
410,175,1
411,175,1
394,171,2
436,144,2
429,185,1
425,170,2
407,164,2
418,136,2
426,151,2
429,145,2
397,138,1
418,168,1
434,175,2
425,173,1
396,172,2
430,152,2
401,137,1
411,170,2
391,137,2
429,176,2
428,158,1
384,175,2
386,161,1
427,147,1
398,154,2
422,156,1
393,160,2
416,158,1
407,143,2
420,168,1
398,174,1
393,180,2
412,186,2
390,142,1
406,160,1
420,164,2
395,151,2
405,148,2
424,159,1
394,162,1
406,188,2
424,173,2
398,154,1
397,176,2
423,162,1
407,178,1
432,152,1
404,150,2
420,151,1
402,143,1
401,162,1
381,159,1
421,190,1
398,175,2
406,156,1
412,185,1
415,145,1
390,166,2
416,167,1
410,181,2
394,193,1
401,195,2
382,166,2
421,166,1
379,167,2
420,187,1
405,181,2
385,168,1
385,167,2
413,156,2
400,184,1
401,182,1
396,185,2
391,192,2
386,152,1
380,183,1
387,169,2
381,148,2
383,148,1
405,174,1
397,152,1
403,187,1
397,189,1
414,177,2
423,153,1
411,155,1
375,173,2
381,188,2
389,169,2
404,183,2
420,197,1
385,184,1
392,184,1
401,173,2
401,179,1
392,175,2
395,155,1
401,164,2
402,181,2
415,173,1
393,178,1
412,176,1
376,178,2
390,148,1
418,179,2
377,197,2
394,192,2
413,156,1
379,174,1
377,150,1
384,178,1
416,157,2
391,180,2
379,177,2
406,182,2
421,186,1
381,180,2
393,181,1
413,193,2
409,157,1
405,193,1
414,169,2
405,200,2
381,177,2
388,172,2
416,154,1
411,161,1
417,168,1
390,176,1
381,172,1
403,183,2
386,185,2
390,187,1
396,196,2
417,157,2
386,188,2
372,164,2
402,183,1
400,177,1
381,160,2
404,180,1
369,174,1
371,191,2
401,193,1
367,161,2
382,190,2
399,178,2
384,166,1
378,188,1
396,182,1
364,176,2
378,163,1
370,202,2
410,160,1
379,157,2
362,171,1
407,179,1
378,195,2
362,166,2
370,191,2
401,186,2
373,165,1
382,158,1
371,170,1
385,190,1
367,177,1
378,159,1
385,192,1
365,172,1
407,169,2
385,173,1
363,162,1
378,181,2
386,181,1
368,166,2
383,170,2
402,164,2
399,192,2
377,163,2
387,173,2
393,168,2
361,199,2
375,182,1
407,185,2
406,196,1
364,166,2
397,199,1
374,200,1
408,205,2
405,206,2
360,183,2
407,185,2
395,195,2
369,171,1
379,185,2
403,197,1
369,193,1
398,160,1
