X,Y,Width
326,215,1
325,212,2
322,213,1
319,215,2
322,208,2
318,214,1
322,215,1
323,213,2
318,208,1
324,210,1
320,209,1
325,210,1
322,209,2
323,205,2
321,208,2
322,206,2
325,206,2
325,205,2
323,213,2
324,206,2
316,209,2
318,206,1
325,213,1
318,213,1
320,212,1
322,212,1
321,215,2
322,207,1
322,207,1
320,208,1
316,207,2
320,212,2
325,213,1
322,207,1
319,215,2
323,206,2
321,207,2
322,212,1
326,207,2
317,206,1
318,208,1
316,209,1
316,208,1
326,206,2
320,209,2
318,209,2
317,208,2
317,211,1
317,206,1
322,206,2
326,207,2
323,216,2
320,208,1
320,214,2
317,208,1
318,216,1
325,214,2
319,211,2
324,214,2
324,210,2
326,211,2
324,212,1
320,217,2
316,208,1
324,212,2
318,213,1
322,212,2
321,209,1
326,209,2
321,214,2
316,217,1
318,207,1
320,211,1
319,213,2
325,217,2
326,215,2
324,207,2
323,208,2
318,214,2
317,217,1
322,218,1
325,211,1
317,213,1
320,214,2
326,215,2
323,218,2
325,209,2
324,210,1
326,211,2
325,211,2
326,210,1
322,217,2
321,216,2
318,211,1
325,209,2
324,216,1
321,218,1
320,208,1
319,208,1
319,217,1
319,218,1
321,217,2
321,218,1
319,215,1
320,216,2
322,215,1
323,212,1
325,212,1
326,219,1
325,212,1
320,209,1
321,219,2
320,212,1
325,214,1
320,210,1
322,213,2
317,219,2
319,211,1
323,213,2
317,213,1
325,213,1
326,220,2
316,216,2
319,213,2
322,213,2
316,220,1
320,219,1
325,214,1
326,212,2
320,220,1
319,215,2
317,211,1
316,219,2
317,219,1
317,216,1
316,217,2
325,214,2
317,211,1
316,219,2
320,220,1
323,215,1
321,218,2
326,219,1
325,214,1
322,214,2
326,215,1
321,213,1
317,220,2
318,218,2
317,212,1
319,220,2
326,213,1
318,218,2
318,221,1
319,213,2
318,215,1
323,218,1
325,217,1
317,219,2
318,216,1
325,222,1
324,217,2
319,220,2
319,217,1
316,221,2
324,217,1
323,222,2
323,220,1
325,222,2
326,221,1
323,218,2
324,215,1
322,215,1
319,220,2
323,219,1
323,218,1
321,218,2
319,214,2
316,219,2
324,219,2
324,221,1
322,213,1
322,222,1
321,216,2
324,219,2
325,217,2
323,213,1
326,215,1
323,222,1
320,221,2
321,218,1
324,214,2
320,220,2
321,213,2
320,223,2
324,218,1
319,213,1
326,219,1
323,219,1
316,219,1
316,215,2
318,216,1
319,221,1
320,214,1
318,215,1
323,214,2
324,215,2
324,224,2
321,217,2
316,222,1
320,224,2
317,214,1
318,219,1
322,215,2
325,223,2
320,214,2
322,223,1
317,214,1
322,222,2
316,218,1
321,215,1
317,216,2
324,215,1
316,217,1
324,219,1
321,222,1
326,224,1
319,220,2
316,217,1
322,221,2
326,220,1
324,217,2
319,221,2
319,224,1
322,224,2
322,219,2
322,223,2
324,216,2
316,222,2
316,217,1
320,219,2
323,216,2
316,225,2
319,224,2
318,225,2
318,224,2
325,220,1
318,220,1
324,224,1
317,218,2
325,224,1
324,226,1
323,223,1
326,219,2
321,220,1
317,216,2
318,219,2
319,218,2
321,221,2
322,221,2
325,227,1
326,223,2
320,222,1
317,227,1
318,226,2
324,227,2
322,225,2
324,217,1
323,222,1
322,225,2
319,221,1
324,226,2
321,222,1
325,217,1
317,220,1
317,220,2
318,223,2
325,219,1
324,217,1
321,217,1
323,219,1
323,228,1
323,223,2
324,226,2
316,224,1
326,222,1
316,224,1
318,228,1
317,226,1
326,218,2
325,227,1
319,228,2
323,226,2
325,224,2
319,221,1
326,222,2
324,219,2
325,221,2
318,225,1
317,221,2
322,220,1
316,220,2
317,225,1
325,222,1
324,219,2
322,223,1
325,222,2
326,229,2
318,222,1
321,229,2
316,229,1
319,221,2
317,228,2
326,219,1
320,225,2
325,225,1
322,228,1
321,222,1
319,224,2
325,220,1
324,227,1
317,225,1
326,230,2
320,222,2
316,222,2
323,230,2
324,224,2
321,229,1
323,221,2
323,226,2
320,225,1
317,221,1
317,230,2
322,222,1
321,228,2
321,226,1
316,225,2
326,220,1
318,229,1
321,225,2
324,225,2
316,223,1
318,223,1
324,229,1
322,225,2
322,229,1
326,230,2
317,221,2
321,221,1
322,231,1
320,222,1
317,223,1
318,223,1
318,223,1
325,223,1
323,229,1
319,227,2
318,230,2
326,231,2
322,229,1
325,230,2
318,228,2
320,226,2
324,230,2
320,226,1
321,231,1
319,223,2
318,222,2
326,230,2
317,222,1
320,228,1
324,224,1
326,227,2
324,223,2
325,229,1
316,232,1
318,231,1
319,231,1
321,232,2
324,232,1
324,233,1
323,227,2
326,231,1
318,230,1
318,225,1
323,231,1
324,224,2
319,226,2
319,226,2
322,233,1
319,233,2
319,227,2
320,230,2
320,224,2
325,225,2
326,227,2
317,231,2
317,224,1
316,233,2
325,229,1
324,227,1
318,230,2
318,229,1
317,235,1
323,225,2
323,227,1
317,231,1
321,233,2
319,231,2
319,232,2
323,227,2
320,229,2
321,229,1
317,225,1
324,235,2
325,229,2
316,234,2
322,233,1
316,227,1
316,231,2
322,233,2
323,232,2
323,231,1
321,228,2
325,229,2
318,233,2
322,228,2
320,232,2
316,233,1
317,230,1
317,226,1
320,236,1
326,233,1
322,229,1
326,228,2
323,228,1
324,226,2
321,227,2
318,235,2
317,232,1
320,237,1
323,232,2
321,228,2
325,230,1
322,233,2
316,228,1
319,229,2
325,230,1
319,228,1
319,229,1
318,232,2
318,235,2
321,237,1
325,231,2
322,232,1
323,232,1
324,232,2
318,232,1
325,236,2
325,228,1
317,238,2
325,230,2
315,230,2
321,230,1
318,234,2
320,231,1
316,234,1
321,229,1
324,234,2
322,230,1
318,230,2
316,233,2
315,238,1
322,234,1
324,235,1
315,231,1
316,234,2
316,232,1
323,234,1
316,238,2
325,241,1
325,237,1
322,238,1
321,238,1
317,241,2
325,239,1
316,238,2
315,236,1
325,240,2
322,238,1
318,238,1
316,235,2
321,238,2
318,241,2
323,239,2
